::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /inicio.html HTTP/1.0" 404 150 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /start.jsa HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /menu.shtml HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /inicio.jsa HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /inicio.cfm HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /main.shtml HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /inicio.jhtml HTTP/1.0" 404 151 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /index.cfm HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /localstart.shtml HTTP/1.0" 404 155 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /localstart.pl HTTP/1.0" 404 152 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /readme.txt HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /default.cfm HTTP/1.0" 404 150 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /menu.php HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /localstart.jhtml HTTP/1.0" 404 155 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /localstart.html HTTP/1.0" 404 154 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /localstart.cgi HTTP/1.0" 404 153 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /localstart.cfm HTTP/1.0" 404 153 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /home.asp HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /index.asp HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /localstart.asp HTTP/1.0" 404 153 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /start.pl HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /indice.cfm HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /inicio.jsp HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /inicio.pl HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /menu.html HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /start.cgi HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /main.jsa HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:48 +0000] "GET /start.cfm HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:48 +0000] "GET /default.jsa HTTP/1.0" 404 150 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:51 +0000] "GET /default.pl HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:52 +0000] "GET /home.aspx HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:52 +0000] "GET /indice.aspx HTTP/1.0" 404 150 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:52 +0000] "GET /default.cgi HTTP/1.0" 404 150 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:52 +0000] "GET /index.cgi HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:52 +0000] "GET /index.php HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:52 +0000] "GET /start.php HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:52 +0000] "GET /default.jsp HTTP/1.0" 404 150 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [12/Apr/2023:06:40:52 +0000] "GET /index.jhtml HTTP/1.0" 404 150 "-" "curl/7.54.0"
::1 - - [12/Apr/2023:06:40:52 +0000] "GET /default.aspx HTTP/1.0" 404 151 "-" "curl/7.54.0"
